,Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PlayerID,Name
75,39,Antonio Blakeney\blakean01,Projected,0.0028703703703703703,0.006990740740740741,0.000787037037037037,0.0024537037037037036,0.0014814814814814816,0.001898148148148148,0.0003703703703703704,0.0022222222222222222,0.0012962962962962963,0.0004166666666666667,0.0001388888888888889,0.0006944444444444445,0.0011111111111111111,0.007962962962962963,0.409,0.319,0.777,blakean01,Antonio Blakeney
77,40,Eric Bledsoe\bledser01,Projected,0.0033333333333333335,0.007314814814814815,0.0008333333333333334,0.0024537037037037036,0.0021296296296296293,0.002638888888888889,0.0003703703703703704,0.002175925925925926,0.002777777777777778,0.000925925925925926,0.0002777777777777778,0.001574074074074074,0.0012962962962962963,0.009675925925925925,0.459,0.345,0.814,bledser01,Eric Bledsoe
79,41,Bogdan Bogdanović\bogdabo01,Projected,0.002685185185185185,0.0059259259259259265,0.0009722222222222223,0.0025,0.000787037037037037,0.0009722222222222223,0.0002777777777777778,0.0018055555555555555,0.0019444444444444446,0.0005555555555555556,0.0001388888888888889,0.0009722222222222223,0.0012962962962962963,0.00712962962962963,0.451,0.394,0.835,bogdabo01,Bogdan Bogdanović
81,42,Bojan Bogdanović\bogdabo02,Projected,0.002777777777777778,0.0060185185185185185,0.0010648148148148147,0.0027314814814814814,0.0012962962962962963,0.0015277777777777776,0.0002314814814814815,0.001990740740740741,0.0008333333333333334,0.00032407407407407406,4.62962962962963e-05,0.0008333333333333334,0.0009722222222222223,0.007916666666666667,0.461,0.387,0.869,bogdabo02,Bojan Bogdanović
83,43,Devin Booker\bookede01,Projected,0.0038425925925925928,0.008749999999999999,0.0011111111111111111,0.0028703703703703703,0.002361111111111111,0.0027314814814814814,0.0002777777777777778,0.0019444444444444446,0.001990740740740741,0.0004166666666666667,0.0001388888888888889,0.0015277777777777776,0.0014814814814814816,0.011203703703703704,0.441,0.384,0.862,bookede01,Devin Booker
85,44,Chris Boucher\bouchch01,Projected,0.0027314814814814814,0.0060185185185185185,0.0007407407407407408,0.0020833333333333333,0.0011574074074074073,0.0014814814814814816,0.0006944444444444445,0.0031018518518518517,0.0016203703703703703,0.0005555555555555556,0.00032407407407407406,0.0009722222222222223,0.0013425925925925925,0.007361111111111112,0.457,0.348,0.77,bouchch01,Chris Boucher
87,45,Avery Bradley\bradlav01,Projected,0.0030555555555555553,0.007037037037037037,0.000925925925925926,0.0024074074074074076,0.0006944444444444445,0.000925925925925926,0.0003703703703703704,0.001990740740740741,0.0011111111111111111,0.0006018518518518519,9.25925925925926e-05,0.0009722222222222223,0.0011574074074074073,0.007777777777777778,0.436,0.374,0.76,bradlav01,Avery Bradley
89,46,Tony Bradley\bradlto01,Projected,0.002638888888888889,0.0059722222222222225,0.0006481481481481481,0.0017592592592592592,0.0011574074074074073,0.0014814814814814816,0.000925925925925926,0.003611111111111111,0.0014814814814814816,0.000462962962962963,0.0002777777777777778,0.0008333333333333334,0.0012037037037037038,0.00712962962962963,0.445,0.358,0.804,bradlto01,Tony Bradley
91,47,Malcolm Brogdon\brogdma01,Projected,0.002685185185185185,0.005648148148148148,0.0006944444444444445,0.0017592592592592592,0.000925925925925926,0.0010648148148148147,0.00032407407407407406,0.001898148148148148,0.0021296296296296293,0.0005555555555555556,0.0001388888888888889,0.0008333333333333334,0.0013425925925925925,0.006990740740740741,0.477,0.394,0.866,brogdma01,Malcolm Brogdon
93,48,Dillon Brooks\brookdi01,Projected,0.0025,0.00550925925925926,0.0006944444444444445,0.001851851851851852,0.000925925925925926,0.0012037037037037038,0.0003703703703703704,0.0019444444444444446,0.0010185185185185186,0.0005092592592592593,0.0001388888888888889,0.0008796296296296296,0.0016203703703703703,0.006574074074074073,0.452,0.365,0.756,brookdi01,Dillon Brooks
95,49,MarShon Brooks\brookma01,Projected,0.003611111111111111,0.0075,0.0012037037037037038,0.0024074074074074076,0.0014351851851851852,0.0017592592592592592,0.0006944444444444445,0.002361111111111111,0.001898148148148148,0.0007407407407407408,0.0002777777777777778,0.0012037037037037038,0.000925925925925926,0.009907407407407406,0.484,0.503,0.828,brookma01,MarShon Brooks
97,50,Jaylen Brown\brownja02,Projected,0.002824074074074074,0.0059722222222222225,0.0008796296296296296,0.002175925925925926,0.0011574074074074073,0.0017592592592592592,0.0005555555555555556,0.002777777777777778,0.000925925925925926,0.0005092592592592593,0.0002314814814814815,0.000925925925925926,0.0014351851851851852,0.0076851851851851855,0.474,0.396,0.668,brownja02,Jaylen Brown
99,51,Lorenzo Brown\brownlo01,Projected,0.0022685185185185187,0.005138888888888889,0.0005092592592592593,0.0017592592592592592,0.0007407407407407408,0.000925925925925926,0.0004166666666666667,0.0024537037037037036,0.0016203703703703703,0.0005555555555555556,0.0001851851851851852,0.0007407407407407408,0.0011111111111111111,0.005740740740740741,0.437,0.281,0.791,brownlo01,Lorenzo Brown
101,52,Sterling Brown\brownst02,Projected,0.001990740740740741,0.004675925925925925,0.0006944444444444445,0.0019444444444444446,0.0006018518518518519,0.0006944444444444445,0.0006018518518518519,0.0031018518518518517,0.0007407407407407408,0.0006481481481481481,0.0002777777777777778,0.0006018518518518519,0.0016203703703703703,0.005231481481481482,0.423,0.363,0.838,brownst02,Sterling Brown
103,53,Thomas Bryant\bryanth01,Projected,0.0025462962962962965,0.005601851851851852,0.0006018518518518519,0.0020833333333333333,0.0012037037037037038,0.001712962962962963,0.0006944444444444445,0.0033796296296296296,0.001574074074074074,0.000462962962962963,0.0003703703703703704,0.000787037037037037,0.0013425925925925925,0.006851851851851852,0.453,0.286,0.7,bryanth01,Thomas Bryant
105,54,Reggie Bullock\bullore01,Projected,0.0025,0.005185185185185185,0.0011574074074074073,0.002638888888888889,0.0004166666666666667,0.0005092592592592593,0.00032407407407407406,0.001712962962962963,0.0009722222222222223,0.000462962962962963,0.0001388888888888889,0.000462962962962963,0.0007407407407407408,0.006527777777777777,0.481,0.434,0.793,bullore01,Reggie Bullock
107,55,Trey Burke\burketr01,Projected,0.0035185185185185185,0.007361111111111112,0.0008333333333333334,0.002175925925925926,0.000787037037037037,0.0011111111111111111,0.0002777777777777778,0.001574074074074074,0.0028703703703703703,0.000462962962962963,0.0001388888888888889,0.0009722222222222223,0.0010648148148148147,0.008657407407407407,0.48,0.376,0.709,burketr01,Trey Burke
109,56,Alec Burks\burksal01,Projected,0.002685185185185185,0.006435185185185185,0.0006944444444444445,0.0020833333333333333,0.0016666666666666668,0.001990740740740741,0.0003703703703703704,0.0029629629629629632,0.0010648148148148147,0.0005555555555555556,0.0001388888888888889,0.000925925925925926,0.00125,0.0077314814814814815,0.415,0.34,0.825,burksal01,Alec Burks
111,57,Jimmy Butler\butleji01,Projected,0.0033333333333333335,0.00712962962962963,0.0005555555555555556,0.0015277777777777776,0.0029629629629629632,0.003425925925925926,0.0006481481481481481,0.0025462962962962965,0.0022685185185185187,0.0008333333333333334,0.0001851851851851852,0.0008796296296296296,0.0006944444444444445,0.010092592592592592,0.464,0.352,0.854,butleji01,Jimmy Butler
113,58,Bruno Caboclo\cabocbr01,Projected,0.0022222222222222222,0.00550925925925926,0.0006481481481481481,0.0022222222222222222,0.000925925925925926,0.0012037037037037038,0.000925925925925926,0.0032407407407407406,0.00125,0.0005555555555555556,0.000462962962962963,0.0008333333333333334,0.0012962962962962963,0.0060185185185185185,0.403,0.283,0.792,cabocbr01,Bruno Caboclo
115,59,Kentavious Caldwell-Pope\caldwke01,Projected,0.0024074074074074076,0.005648148148148148,0.0010185185185185186,0.0027314814814814814,0.0010648148148148147,0.0012962962962962963,0.0004166666666666667,0.0022685185185185187,0.0011574074074074073,0.0006944444444444445,9.25925925925926e-05,0.0006481481481481481,0.000925925925925926,0.006851851851851852,0.424,0.372,0.807,caldwke01,Kentavious Caldwell-Pope
117,60,Isaiah Canaan\canaais01,Projected,0.0021296296296296293,0.00550925925925926,0.0009722222222222223,0.002916666666666667,0.0013425925925925925,0.001574074074074074,0.0002777777777777778,0.0017592592592592592,0.001851851851851852,0.0005555555555555556,9.25925925925926e-05,0.0008796296296296296,0.0012037037037037038,0.006574074074074073,0.384,0.334,0.866,canaais01,Isaiah Canaan
119,61,Clint Capela\capelca01,Projected,0.003611111111111111,0.005648148148148148,4.62962962962963e-05,9.25925925925926e-05,0.0011574074074074073,0.0020370370370370373,0.0019444444444444446,0.0062037037037037035,0.0006481481481481481,0.000462962962962963,0.0010185185185185186,0.0008333333333333334,0.0016203703703703703,0.008425925925925925,0.642,0.349,0.554,capelca01,Clint Capela
121,62,DeMarre Carroll\carrode01,Projected,0.0023148148148148147,0.005694444444444445,0.0010185185185185186,0.0028703703703703703,0.0012037037037037038,0.001574074074074074,0.0007407407407407408,0.0032407407407407406,0.0009722222222222223,0.0005555555555555556,0.0002314814814814815,0.0006944444444444445,0.0012962962962962963,0.006898148148148148,0.408,0.36,0.756,carrode01,DeMarre Carroll
123,63,Michael Carter-Williams\cartemi01,Projected,0.001990740740740741,0.005231481481481482,0.00032407407407407406,0.0011574074074074073,0.0012962962962962963,0.0016666666666666668,0.0006481481481481481,0.0028703703703703703,0.0023148148148148147,0.000787037037037037,0.000462962962962963,0.0011574074074074073,0.001851851851851852,0.005555555555555556,0.378,0.26,0.775,cartemi01,Michael Carter-Williams
125,64,Alex Caruso\carusal01,Projected,0.0018055555555555555,0.004027777777777778,0.000462962962962963,0.0014351851851851852,0.0007407407407407408,0.0010185185185185186,0.0005092592592592593,0.0022222222222222222,0.0021296296296296293,0.0006481481481481481,0.00032407407407407406,0.0011574074074074073,0.0014814814814814816,0.004814814814814815,0.449,0.328,0.729,carusal01,Alex Caruso
127,65,Willie Cauley-Stein\caulewi01,Projected,0.0030555555555555553,0.0059722222222222225,4.62962962962963e-05,0.0001851851851851852,0.0012037037037037038,0.001898148148148148,0.0010648148148148147,0.004120370370370371,0.00125,0.0006481481481481481,0.0005555555555555556,0.0008333333333333334,0.0015277777777777776,0.007407407407407408,0.515,0.311,0.643,caulewi01,Willie Cauley-Stein
129,66,Tyler Cavanaugh\cavanty01,Projected,0.0023148148148148147,0.005138888888888889,0.0009722222222222223,0.002638888888888889,0.0006944444444444445,0.0008796296296296296,0.0012962962962962963,0.003888888888888889,0.0010648148148148147,0.0003703703703703704,0.0001851851851851852,0.0005555555555555556,0.0018055555555555555,0.006342592592592592,0.454,0.367,0.798,cavanty01,Tyler Cavanaugh
131,67,Wilson Chandler\chandwi01,Projected,0.0024074074074074076,0.00537037037037037,0.0006944444444444445,0.001990740740740741,0.000787037037037037,0.0010648148148148147,0.0007407407407407408,0.0030092592592592593,0.0011111111111111111,0.00032407407407407406,0.0002777777777777778,0.0007407407407407408,0.0012037037037037038,0.006296296296296296,0.449,0.347,0.75,chandwi01,Wilson Chandler
133,68,Marquese Chriss\chrisma01,Projected,0.0025,0.00550925925925926,0.0006481481481481481,0.0020833333333333333,0.0011111111111111111,0.001712962962962963,0.0008796296296296296,0.003981481481481482,0.0008796296296296296,0.0006018518518518519,0.0007407407407407408,0.0010648148148148147,0.0022222222222222222,0.006712962962962963,0.45,0.32,0.635,chrisma01,Marquese Chriss
135,69,Ian Clark\clarkia01,Projected,0.002685185185185185,0.00587962962962963,0.000787037037037037,0.0022685185185185187,0.0006018518518518519,0.000787037037037037,0.0002314814814814815,0.0016666666666666668,0.0013425925925925925,0.000462962962962963,0.0001388888888888889,0.0007407407407407408,0.0013425925925925925,0.006805555555555555,0.461,0.339,0.767,clarkia01,Ian Clark
137,70,Jordan Clarkson\clarkjo01,Projected,0.0035185185185185185,0.007824074074074074,0.0008796296296296296,0.0025925925925925925,0.0011574074074074073,0.0014814814814814816,0.000462962962962963,0.0019444444444444446,0.001712962962962963,0.0005555555555555556,4.62962962962963e-05,0.0010648148148148147,0.0010185185185185186,0.009166666666666667,0.451,0.348,0.801,clarkjo01,Jordan Clarkson
139,71,Antonius Cleveland\clevean01,Projected,0.0020833333333333333,0.004629629629629629,0.0006018518518518519,0.001388888888888889,0.000925925925925926,0.0012037037037037038,0.0005555555555555556,0.0025925925925925925,0.0010648148148148147,0.0007407407407407408,0.0005092592592592593,0.0009722222222222223,0.0020833333333333333,0.005648148148148148,0.447,0.434,0.745,clevean01,Antonius Cleveland
140,72,John Collins\collijo01,Projected,0.0030092592592592593,0.005185185185185185,0.0001851851851851852,0.0005555555555555556,0.00125,0.0017592592592592592,0.0016203703703703703,0.005,0.0010185185185185186,0.000462962962962963,0.0007407407407407408,0.0009722222222222223,0.001898148148148148,0.007453703703703705,0.579,0.359,0.73,collijo01,John Collins
142,73,Zach Collins\colliza01,Projected,0.001990740740740741,0.004768518518518519,0.0006018518518518519,0.0018055555555555555,0.0005555555555555556,0.000787037037037037,0.0007407407407407408,0.003564814814814815,0.0009722222222222223,0.00032407407407407406,0.000462962962962963,0.000925925925925926,0.0019444444444444446,0.005185185185185185,0.422,0.329,0.686,colliza01,Zach Collins
144,74,Darren Collison\collida01,Projected,0.002638888888888889,0.00550925925925926,0.0006944444444444445,0.0016203703703703703,0.0011111111111111111,0.0012962962962962963,0.0002777777777777778,0.0014351851851851852,0.0027314814814814814,0.0006481481481481481,9.25925925925926e-05,0.0008333333333333334,0.0010185185185185186,0.007175925925925926,0.483,0.44,0.865,collida01,Darren Collison
